source,source_place_id,hashtags,nature,culture,art,food,activity,sports,healing,festival,semantic_text,taxonomy_version,labeling_method,labeling_confidence,labeling_evidence,reviewed_at
prototype,acc,#예술|#전시|#실내|#비오는날,0.05,0.85,0.98,0.15,0.25,0.05,0.35,0.55,"국립아시아문화전당 전시와 공연, 넓은 실내외 공간을 함께 경험하는 도심 문화 거점 #예술 #전시 #실내 #비오는날",1.0.0,manual,0.85,"[{""source"": ""prototype"", ""note"": ""기존 MVP 수동 라벨""}]",2026-07-21T04:43:38.340986+00:00
prototype,yangnim,#근대문화|#골목산책|#사진|#카페,0.25,0.92,0.75,0.5,0.4,0.05,0.8,0.5,"양림동 역사문화마을 근대 건축과 골목, 작은 전시 공간을 천천히 연결해 걷는 마을 #근대문화 #골목산책 #사진 #카페",1.0.0,manual,0.85,"[{""source"": ""prototype"", ""note"": ""기존 MVP 수동 라벨""}]",2026-07-21T04:43:38.340986+00:00
prototype,mudeungsan,#자연|#트레킹|#전망|#힐링,1.0,0.45,0.1,0.1,0.85,0.15,0.95,0.15,무등산 국립공원 광주를 대표하는 산과 숲길에서 풍경과 트레킹을 즐기는 코스 #자연 #트레킹 #전망 #힐링,1.0.0,manual,0.85,"[{""source"": ""prototype"", ""note"": ""기존 MVP 수동 라벨""}]",2026-07-21T04:43:38.340986+00:00
prototype,champions,#야구|#KIA|#응원|#야간,0.05,0.12,0.08,0.45,0.55,1.0,0.2,0.7,광주-기아 챔피언스필드 야구 팬의 열기와 경기 전후 지역 먹거리를 함께 즐기는 장소 #야구 #KIA #응원 #야간,1.0.0,manual,0.85,"[{""source"": ""prototype"", ""note"": ""기존 MVP 수동 라벨""}]",2026-07-21T04:43:38.340986+00:00
prototype,songjeong,#시장|#로컬푸드|#간식|#기차여행,0.05,0.5,0.25,1.0,0.35,0.12,0.45,0.65,1913 송정역시장 광주송정역 가까이에서 로컬 간식과 시장의 분위기를 만나는 곳 #시장 #로컬푸드 #간식 #기차여행,1.0.0,manual,0.85,"[{""source"": ""prototype"", ""note"": ""기존 MVP 수동 라벨""}]",2026-07-21T04:43:38.340986+00:00
prototype,biennale,#현대미술|#전시|#실내|#문화,0.05,0.65,1.0,0.15,0.25,0.05,0.35,0.55,광주비엔날레 전시관 현대미술을 중심으로 새로운 시각과 이야기를 발견하는 전시 공간 #현대미술 #전시 #실내 #문화,1.0.0,manual,0.85,"[{""source"": ""prototype"", ""note"": ""기존 MVP 수동 라벨""}]",2026-07-21T04:43:38.340986+00:00
prototype,juknokwon,#대나무숲|#산책|#힐링|#사진,0.98,0.45,0.2,0.3,0.5,0.05,0.95,0.25,담양 죽녹원 대숲 사이의 길을 걸으며 바람과 초록을 느끼는 대표적인 휴식 코스 #대나무숲 #산책 #힐링 #사진,1.0.0,manual,0.85,"[{""source"": ""prototype"", ""note"": ""기존 MVP 수동 라벨""}]",2026-07-21T04:43:38.340986+00:00
prototype,suncheon_garden,#정원|#생태|#산책|#가족,1.0,0.45,0.25,0.35,0.55,0.05,0.95,0.4,순천만 국가정원 계절별 정원과 생태 공간을 넓게 산책하며 하루를 보내는 여행지 #정원 #생태 #산책 #가족,1.0.0,manual,0.85,"[{""source"": ""prototype"", ""note"": ""기존 MVP 수동 라벨""}]",2026-07-21T04:43:38.340986+00:00
prototype,yeosu_night,#여수밤바다|#로컬푸드|#야경|#친구,0.5,0.25,0.15,1.0,0.45,0.1,0.65,1.0,여수 낭만포차거리 바다 야경을 배경으로 여수의 음식과 밤 분위기를 즐기는 거리 #여수밤바다 #로컬푸드 #야경 #친구,1.0.0,manual,0.85,"[{""source"": ""prototype"", ""note"": ""기존 MVP 수동 라벨""}]",2026-07-21T04:43:38.340986+00:00
prototype,mokpo_modern,#근대역사|#항구|#골목|#박물관,0.25,1.0,0.7,0.65,0.45,0.05,0.65,0.6,목포 근대역사문화공간 근대 건축과 항구도시의 이야기를 골목과 전시로 이어 보는 공간 #근대역사 #항구 #골목 #박물관,1.0.0,manual,0.85,"[{""source"": ""prototype"", ""note"": ""기존 MVP 수동 라벨""}]",2026-07-21T04:43:38.340986+00:00
prototype,hwasun_dolmen,#세계유산|#역사|#야외|#탐방,0.65,1.0,0.25,0.2,0.55,0.05,0.7,0.15,화순 고인돌 유적 선사시대의 흔적과 자연 지형을 함께 살펴보는 야외 역사 탐방지 #세계유산 #역사 #야외 #탐방,1.0.0,manual,0.85,"[{""source"": ""prototype"", ""note"": ""기존 MVP 수동 라벨""}]",2026-07-21T04:43:38.340986+00:00
prototype,gokseong_train,#기차|#체험|#가족|#레트로,0.8,0.35,0.15,0.45,0.9,0.2,0.75,0.5,"곡성 섬진강기차마을 기차와 놀이, 계절 풍경을 한 공간에서 즐기는 가족형 체험 여행지 #기차 #체험 #가족 #레트로",1.0.0,manual,0.85,"[{""source"": ""prototype"", ""note"": ""기존 MVP 수동 라벨""}]",2026-07-21T04:43:38.340986+00:00
