"source_file","note","consideration"
"gwangju_official_places.csv","<수정한 부분>",""
"gwangju_official_places.csv","gwangju_official_operating_info_review_refined 파일에 있었던것처럼 주차장 / 애완동물 수정함",""
"gwangju_official_places.csv","무등산 국립공원, 광주천, 너릿재 옛길, 동적골 생태탐방로, 무돌길, 무등산 등산로, 무등산 옛길, 빛고을산들길은 한 지점의 위도경도로 표시하기 애매하여 인근 주차장을 위도 경도로 표시함.",""
"gwangju_official_operating_info_review.csv","<수정한 내용 및 근거>","<생각해볼만한거>"
"gwangju_official_operating_info_review.csv","5번 링크 타고 들어가면, 애견동반가능이라고 나와있음","이용시간에서 24시간 또는 상시개방이라고 작성되어있음. 이를 합치면 좋지 않을까??"
"gwangju_official_operating_info_review.csv","9번 https://www.mpva.go.kr/419/contents.do?key=315 링크 타고 들어가면 관람시간 및 휴관일 나와있음","이용시간이 없는 경우 09~18시 보통 우리가 아닌 시간으로 설정하는지 아니면 다른 조건이 부여되는지 궁금"
"gwangju_official_operating_info_review.csv","14번 00:00~24:00이라고 작성되어있어 상시개방으로 수정함","버스나 지하철을 작성하는 경우에 역 이름에 대한 분류가 필요할거 같다는 생각이 듬. 지금 방식은 A:1번,2번,3번 B: 4번, 5번, 6번 이런식으로 작성되어있는데 A와B를 구분지어서 콤마나 | 등등으로 나눠주지 않아도 괜찮은가?"
"gwangju_official_operating_info_review.csv","16번 단체 관람 문의가 이용시간에 들어가있어서 뺌.","주차장 관련도 주차가능/있음이 겹쳐서 작성되어 있어 이를 1가지로 고치면 좋을거 같음 + 20대라고 작성된 경우 가능으로만 작성해도 됨?"
"gwangju_official_operating_info_review.csv","16번 기존 데이터가 '버스: 매월06, 진월07, 수완12, 지원45, 송암74, 대촌170(향교, 광주세무서) 금남59, 대촌70(광주공원 정류소) 지하철: 금남로4가역 2번 출구에서 하차 후 광주공원 방향으로 도보 698m 광주공원 : 금남59 , 대촌70 중앙대교(서) : 지원45 , 수완12 , 송암74 향교 : 대촌170 , 지원45 , 수완12 , 송암74 , 진월07 , 매월06'인데 여기서 '지하철: 금남로4가역 2번 출구, 버스 : 광주공원 : 금남59 , 대촌70 중앙대교(서) : 지원45 , 수완12 , 송암74 향교 : 대촌170 , 지원45 , 수완12 , 송암74 , 진월07 , 매월06'로 수정함","무등산 경우 입산통제가 시간별(날씨에 따라) 달라지는데 이는 적용을 어떻게 할건가?"
"gwangju_official_operating_info_review.csv","17번 00:00 ~ 24:00이라고 작성되어있어서 상시개방으로 수정함.",""
"gwangju_official_operating_info_review.csv","18번 00:00 ~ 24:00이라고 작성되어있어서 상시개방으로 수정함.",""
"gwangju_official_operating_info_review.csv","20번 주차 불가능은 네이버지도로 주차장이 없는거 확인함",""
"gwangju_official_operating_info_review.csv","21번 주차 불가능 네이버지도로 확인완",""
"gwangju_official_operating_info_review.csv","28번 휴일에서 '특별한 사유로 관장이 지정하는 날'이라고 작성이 되어있는 부분을 뺌",""
"gwangju_official_operating_info_review.csv","29번 이용시간에 빛분수가 금요일은 운영하지 않는다고 작성되어있었음. 이용시간에서 이 내용을 빼서 휴일로 옮김. 수정하는 과정에서 csv/한셀 오류인지 -표시가 안돼서 이것도 뺌",""
"gwangju_official_operating_info_review.csv","29번 주차시설/버스정류장으로 홈페이지에 작성된 내용이 겹쳐서 겹치는 내용은 지움",""
"gwangju_official_operating_info_review.csv","30번, 31번 '휴일에 도서관의 사정으로 관장이 지정하여 공고하는날'을 휴일에서 뺌",""
"gwangju_official_operating_info_review.csv","34번 00:00 ~ 24:00으로 작성되어있어서 상시개방으로 수정함",""
"gwangju_official_operating_info_review.csv","38번, 39번, 41번은 00:00 ~ 24:00으로 작성되어 있어서 상시개방으로 수정함",""
"gwangju_official_operating_info_review.csv","40번 홈페이지 내 대중교통/버스정류장 중 겹치는 내용 제거",""
"gwangju_official_operating_info_review.csv","41번 홈페이지에 애견동반가능 아이콘이 존재해서 동반가능으로 작성함",""
"gwangju_official_operating_info_review.csv","43번 홈페이지에 애견동반가능 아이콘이 존재해서 동반가능으로 작성함",""
